persona,upi_txn_frequency_30d,upi_merchant_diversity_score,utility_bill_payment_consistency,mobile_recharge_regularity,income_estimate_monthly,income_volatility_cv,bnpl_outstanding_ratio,multi_loan_app_count,evening_txn_ratio,savings_behavior_score,peer_transfer_reciprocity,device_tenure_months,loan_approved
domestic_worker,3.5050927196898387,0.15460520435890462,0.4423798065494423,34.51244703273512,6880.047681278513,0.34028492549758826,0.2751225068469338,1,0.14007718757911342,0.16123940726977437,1.4487354921940212,16.521167521693954,0
auto_driver,3.574355304937578,0.3569077929981455,0.7652990476312673,20.64557932153673,19843.753920412495,0.35635779043896054,0.24267450609872582,0,0.5179363363966594,0.4113533988295047,0.7362470954963773,20.001630111811025,1
domestic_worker,3.886284063519735,0.0988738037207228,0.566706867715691,24.391116225516157,16424.942802611382,0.19736783977107142,0.04547252686741507,2,0.09538186981017682,0.2509441984047531,1.1060063432106315,20.486242117214587,0
domestic_worker,1.8561743266056105,0.09324921558953662,0.707122976788739,17.795049672186195,10696.483969200159,0.19997705061877707,0.002576794412851929,0,0.20738487550042767,0.24945525697760962,1.2936157650384346,19.395309651461325,1
auto_driver,9.015626656114245,0.26777405153578315,0.7373991647220993,20.76997943348846,25474.70655617198,0.44041549600017726,0.13839485016449896,0,0.3411850294187837,0.11232713382717577,0.9057021724626537,12.437540184585876,0
auto_driver,5.532455028197969,0.2233984394416709,0.7780049361852959,17.02657874214301,13402.738569991943,0.4851694627319241,0.16607838508184689,1,0.3719160584320212,0.42560815386641393,0.7168810439353928,6.681362194015814,0
tuition_teacher,3.5052238755168177,0.25330923594960897,0.9019329087725434,18.030812960332554,12183.585958783657,0.3143063678289447,0.06030241782957531,1,0.1723625221106781,0.33944246369224546,0.7826041314843607,40.704520594683494,1
kirana_owner,25.132519887247483,0.19337803783179913,0.7982892957074503,7.72241561845159,35393.82638228852,0.12409774053837483,0.13539035948157624,0,0.2639440724584028,0.34106351415785363,0.5529783120753262,32.85190448190826,1
domestic_worker,2.012325639212863,0.1440963261053665,0.662844086010731,27.9969320310964,8411.521872808593,0.17111108028497227,0.14553259075971337,2,0.1487981638489038,0.1489583636998356,0.9011669322062329,5.171462322173585,0
distressed,1.23654847224406,0.07909154914814168,0.10798135486039413,48.96398033103613,10440.760787376928,0.6929213747771601,0.6913676136251431,2,0.37068249998060965,0.048665833083816036,2.2360604915317817,7.5647851848248795,0
